bench,llvm_ms,tcg_ms,ratio
b1_mispredict,101.8,107.0,1.051
h1_vec_push_sum,108.5,106.8,0.984
h2_vec_grow,106.7,109.5,1.026
h3_box_leak,100.7,111.4,1.106
h4_vec_dropper,104.0,110.9,1.067
m1_call_chain,94.1,97.8,1.040
m2_call_heavy,95.6,99.7,1.043
p1_xorshift,91.8,103.7,1.129
p2_collatz,92.8,107.7,1.160
p3_gcd,96.2,170.8,1.776
p4_matmul,105.5,118.0,1.118
p5_struct_acc,93.9,101.9,1.086
p6_branch_match,95.0,103.5,1.089
p7_sieve,129.5,110.3,0.852
p8_closure_nest,92.1,97.8,1.062
v1_saxpy,98.0,107.0,1.092
v2_memfill,94.8,107.9,1.138
v3_popcount,99.2,101.8,1.026
