bench,llvm_us,tcg_us,ratio
b1_mispredict,97961,99605,1.0168
h1_vec_push_sum,96868,109382,1.1292
h2_vec_grow,103478,108023,1.0439
h3_box_leak,97738,103596,1.0599
h4_vec_dropper,104501,111035,1.0625
m1_call_chain,94151,92377,0.9812
m2_call_heavy,89767,94711,1.0551
p1_xorshift,94767,94790,1.0002
p2_collatz,84879,94216,1.1100
p3_gcd,87686,95750,1.0920
p4_matmul,98800,114697,1.1609
p5_struct_acc,88904,93293,1.0494
p6_branch_match,88763,96272,1.0846
p7_sieve,123069,102749,0.8349
p8_closure_nest,89713,96559,1.0763
v1_saxpy,88496,100966,1.1409
v2_memfill,87454,99577,1.1386
v3_popcount,92721,101637,1.0962
