bench,llvm,tcg_cached,ratio
b1_mispredict,96.2,108.6,1.128
h1_vec_push_sum,109.7,114.8,1.046
h2_vec_grow,104.3,110.4,1.058
h3_box_leak,102.9,113.7,1.106
h4_vec_dropper,110.4,111.2,1.008
m1_call_chain,94.4,102.2,1.083
m2_call_heavy,97.8,100.7,1.029
p1_xorshift,98.2,100.8,1.027
p2_collatz,99.5,103.6,1.042
p3_gcd,93.6,172.8,1.847
p4_matmul,108.0,122.3,1.132
p5_struct_acc,97.9,105.3,1.076
p6_branch_match,100.0,100.1,1.001
p7_sieve,131.8,110.0,0.834
p8_closure_nest,100.4,106.9,1.065
v1_saxpy,100.6,113.6,1.130
v2_memfill,100.5,108.4,1.079
v3_popcount,99.9,105.0,1.052
