bench,base,hoist,ratio
b1_mispredict,168.7,167.9,0.995
h1_vec_push_sum,58.2,58.2,0.999
h2_vec_grow,33.6,33.8,1.005
h3_box_leak,77.5,81.9,1.057
h4_vec_dropper,19.0,18.5,0.972
m1_call_chain,80.6,79.9,0.992
m2_call_heavy,43.1,43.7,1.014
p1_xorshift,318.6,319.6,1.003
p2_collatz,162.2,163.3,1.007
p3_gcd,369.9,365.9,0.989
p4_matmul,51.8,52.0,1.003
p5_struct_acc,729.0,729.2,1.000
p6_branch_match,1365.9,1378.6,1.009
p7_sieve,37.6,33.1,0.879
p8_closure_nest,166.1,166.0,0.999
v1_saxpy,57.4,56.6,0.985
v2_memfill,20.4,17.7,0.867
v3_popcount,12.1,12.3,1.014
