bench,llvm_o1_compile_ms,llvm_o3_compile_ms,bridge_compile_ms,bridge_noproof_compile_ms,llvm_o1_exec_ms,llvm_o3_exec_ms,bridge_exec_ms,llvm_checksum,bridge_checksum,checksum_match,bridge_status
b01_intloop_sum,91.6,88.4,2733.1,695.4,44.1,45.9,3.1,216,216,YES,OK
b02_sieve,98.3,113.5,735.3,621.8,26.9,21.7,41.5,32,32,YES,OK
b03_fib_iter,80.4,82.5,732.5,592.4,3.4,3.9,4.1,0,0,YES,OK
b04_ackermann,81.0,80.5,711.4,627.3,3.2,3.4,2.9,53,53,YES,OK
b05_matmul,109.2,123.3,786.4,706.7,29.4,29.1,54.5,80,80,YES,OK
b06_bubblesort,104.2,109.4,729.5,664.0,62.5,75.0,195.8,192,192,YES,OK
b07_quicksort,101.8,110.1,840.4,697.6,44.0,30.7,65.3,44,44,YES,OK
b08_fnv_hash,95.2,91.1,743.7,656.0,38.2,38.0,60.3,175,175,YES,OK
b09_popcount,83.5,93.5,753.6,673.6,40.0,40.6,67.7,199,199,YES,OK
b10_state_machine,82.6,81.1,704.3,607.6,48.7,49.0,53.1,180,180,YES,OK
b11_float_dot,87.4,91.1,1810.8,1772.0,30.8,30.4,56.9,60,60,YES,OK
b12_crc32,100.6,100.0,728.7,649.9,43.1,39.9,92.7,168,168,YES,OK
b13_collatz,86.8,84.4,679.8,581.1,78.0,76.7,112.0,56,56,YES,OK
b14_mandel_fixed,89.1,90.0,749.7,631.1,39.0,38.0,50.2,232,232,YES,OK
b15_trial_div,92.0,89.0,711.8,638.0,113.0,110.4,138.9,177,177,YES,OK
b16_memcmp_scan,94.3,97.5,852.2,706.5,44.6,34.4,14.8,80,80,YES,OK
b17_xorshift_rng,90.8,85.4,725.0,623.7,52.2,51.4,75.0,177,177,YES,OK
b18_insertion_binsearch,98.5,109.6,773.2,665.2,51.6,50.1,120.8,40,40,YES,OK
