bench,llvm,tcg,ratio
b1_mispredict,149.9,168.0,1.121
h1_vec_push_sum,24.0,58.2,2.418
h2_vec_grow,38.5,32.2,0.837
h3_box_leak,75.7,78.2,1.034
h4_vec_dropper,21.8,18.5,0.849
m1_call_chain,80.2,78.9,0.983
m2_call_heavy,53.7,41.6,0.773
p1_xorshift,318.7,319.5,1.003
p2_collatz,163.7,160.6,0.981
p3_gcd,353.5,368.7,1.043
p4_matmul,47.4,53.4,1.126
p5_struct_acc,706.3,729.3,1.033
p6_branch_match,1343.3,1361.0,1.013
p7_sieve,34.0,31.7,0.932
p8_closure_nest,165.5,164.5,0.994
v1_saxpy,53.8,56.0,1.042
v2_memfill,16.7,17.2,1.032
v3_popcount,20.0,12.0,0.597
