bench,llvm,tcg_hoist,ratio
b1_mispredict,147.3,165.3,1.122
h1_vec_push_sum,21.7,57.0,2.622
h2_vec_grow,33.5,29.1,0.868
h3_box_leak,72.1,75.0,1.041
h4_vec_dropper,21.5,18.0,0.838
m1_call_chain,80.5,79.5,0.988
m2_call_heavy,54.1,41.7,0.772
p1_xorshift,318.8,319.0,1.000
p2_collatz,163.4,159.9,0.979
p3_gcd,352.1,364.1,1.034
p4_matmul,46.0,50.0,1.088
p5_struct_acc,704.3,727.2,1.032
p6_branch_match,1342.9,1370.4,1.020
p7_sieve,34.2,31.5,0.920
p8_closure_nest,166.9,165.5,0.992
v1_saxpy,51.7,56.8,1.099
v2_memfill,17.7,18.5,1.045
v3_popcount,20.8,12.4,0.594
